Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,0.660000,0.690000,0.660000,0.680000,0.680000,2121700
2021-05-17,0.670000,0.700000,0.670000,0.690000,0.690000,3125700
2021-05-18,0.680000,0.680000,0.640000,0.650000,0.650000,7609200
2021-05-19,0.630000,0.640000,0.600000,0.620000,0.620000,3901800
2021-05-20,0.610000,0.620000,0.610000,0.610000,0.610000,2890100
2021-05-21,0.620000,0.630000,0.600000,0.600000,0.600000,2905700
2021-05-24,0.610000,0.620000,0.590000,0.620000,0.620000,3575600
2021-05-25,0.610000,0.610000,0.600000,0.600000,0.600000,2855600
2021-05-26,0.600000,0.620000,0.590000,0.610000,0.610000,2256500
2021-05-27,0.620000,0.630000,0.610000,0.620000,0.620000,3377000
2021-05-28,0.630000,0.650000,0.610000,0.640000,0.640000,5454200
2021-06-01,0.670000,0.710000,0.670000,0.680000,0.680000,6185700
2021-06-02,0.700000,0.730000,0.670000,0.720000,0.720000,5779900
2021-06-03,0.720000,0.730000,0.690000,0.700000,0.700000,4693700
2021-06-04,0.710000,0.720000,0.700000,0.710000,0.710000,3214500
2021-06-07,0.720000,0.720000,0.700000,0.710000,0.710000,3589100
2021-06-08,0.710000,0.720000,0.680000,0.700000,0.700000,3612700
2021-06-09,0.700000,0.710000,0.690000,0.700000,0.700000,2954700
2021-06-10,0.700000,0.700000,0.670000,0.690000,0.690000,4011300
2021-06-11,0.700000,0.700000,0.680000,0.680000,0.680000,1772000
2021-06-14,0.700000,0.700000,0.670000,0.680000,0.680000,2826300
2021-06-15,0.690000,0.710000,0.680000,0.710000,0.710000,3220000
2021-06-16,0.710000,0.770000,0.700000,0.740000,0.740000,10497900
2021-06-17,0.750000,0.760000,0.680000,0.700000,0.700000,5421000
2021-06-18,0.700000,0.750000,0.690000,0.730000,0.730000,5627600
2021-06-21,0.740000,0.830000,0.730000,0.820000,0.820000,12665300
2021-06-22,0.820000,0.840000,0.770000,0.830000,0.830000,8003100
2021-06-23,0.840000,0.870000,0.820000,0.840000,0.840000,7947900
2021-06-24,0.810000,0.820000,0.790000,0.800000,0.800000,5179900
2021-06-25,0.810000,0.820000,0.760000,0.780000,0.780000,3817600
2021-06-28,0.780000,0.780000,0.730000,0.740000,0.740000,5481200
2021-06-29,0.740000,0.760000,0.720000,0.720000,0.720000,3452600
2021-06-30,0.730000,0.760000,0.720000,0.740000,0.740000,3051600
2021-07-01,0.760000,0.790000,0.750000,0.780000,0.780000,5224600
2021-07-02,0.770000,0.780000,0.740000,0.770000,0.770000,2771400
2021-07-06,0.790000,0.800000,0.750000,0.750000,0.750000,4695000
2021-07-07,0.740000,0.750000,0.700000,0.720000,0.720000,4544300
2021-07-08,0.680000,0.720000,0.680000,0.700000,0.700000,3414400
2021-07-09,0.710000,0.720000,0.700000,0.720000,0.720000,2017300
2021-07-12,0.740000,0.740000,0.700000,0.710000,0.710000,2577700
2021-07-13,0.750000,0.760000,0.710000,0.720000,0.720000,4445400
2021-07-14,0.720000,0.730000,0.670000,0.680000,0.680000,4805800
2021-07-15,0.670000,0.690000,0.630000,0.660000,0.660000,4479100
2021-07-16,0.670000,0.690000,0.610000,0.620000,0.620000,4759600
2021-07-19,0.590000,0.640000,0.570000,0.610000,0.610000,5441400
2021-07-20,0.610000,0.630000,0.600000,0.620000,0.620000,1758900
2021-07-21,0.640000,0.660000,0.630000,0.660000,0.660000,2736600
2021-07-22,0.660000,0.670000,0.630000,0.640000,0.640000,1261800
